spa,importer1,importer2,flow1,flow2
1,"History Drug Alcohol","History: Physical Abuse",0.65,3.42
1,"History Drug Alcohol","Reason: Foster Care",1.32,0.29
1,"History Drug Alcohol","History: Alcohol Abuse",152,240.95
2,"History: Severe Depression","History: Physical Illness",33.07,40.34
2,"History: Severe Depression","History: Physical Abuse",12.2,18.95
2,"Reason: Substance Abuse","Reason: Job",108.39,95.59
2,"Reason: Substance Abuse","Reason: Eviction",83.11,47.14
2,"Reason: Substance Abuse","History: Physical Illness",1.77,3.33
2,"Reason: Substance Abuse","Reason: No Family",0.42,1.31
2,"Reason: Substance Abuse","History: Physical Abuse",15.75,3.71
2,"Reason: Substance Abuse","Reason: Death in Family",2.18,1.8
2,"Reason: Substance Abuse","Reason: Foster Care",2.56,2.17
2,"Reason: Substance Abuse","Reason: Unihabitable Housing",0.34,1.26
2,"Reason: Domestic Violence","Reason: Substance Abuse",1.65,3.97
2,"Reason: Domestic Violence","Reason: Job",17.75,0
2,"Reason: Domestic Violence","Reason: No Family",4.504288,3.65
2,"Reason: Domestic Violence","History: Alcohol Abuse",33.42,36.1
2,"Reason: Breakup","Reason: No Family",3.7,2.9
2,"Reason: Job","History: Severe Depression",11.83,4.49
2,"Reason: Job","Reason: Breakup",17.77,1.29
2,"Reason: Job","Reason: Eviction",86.92,89.99
2,"Reason: Job","History: Physical Illness",79.26,67.16
2,"Reason: Job","Reason: No Family",18.09,18.62
2,"Reason: Job","History: Physical Abuse",46.03,11.17
2,"Reason: Job","Reason: Death in Family",22.81,42.26
2,"Reason: Job","Reason: Foster Care",9.07,2.85
2,"Reason: Job","Reason: Unihabitable Housing",63.55,76
2,"Reason: Job","History: PTSD",27.67,21.19
2,"Reason: Eviction","History: Physical Illness",4.15,6.4
2,"Reason: Eviction","Reason: No Family",13.35,23.23
2,"Reason: Eviction","History: Physical Abuse",80.59,162.57
2,"Reason: Eviction","Reason: Foster Care",3.46,14.79
2,"History: Physical Illness","History: Physical Abuse",4.84,8.14
2,"History: Physical Illness","Reason: Foster Care",0.09,0.31
2,"Reason: Jail Prison","History: Severe Depression",0.05,0.00008
2,"Reason: Jail Prison","Reason: Substance Abuse",42.21,32.72
2,"Reason: Jail Prison","Reason: Breakup",0.2,0
2,"Reason: Jail Prison","Reason: Job",11.05,7.29
2,"Reason: Jail Prison","Reason: Eviction",64.72,95.67
2,"Reason: Jail Prison","History: Physical Illness",0.8,2.01
2,"Reason: Jail Prison","Reason: No Family",1.08,1.6
2,"Reason: Jail Prison","History: Physical Abuse",14.87,9.02
2,"Reason: Jail Prison","Reason: Foster Care",1.31,0.8
2,"Reason: No Family","Reason: Substance Abuse",3.09,16.49
2,"Reason: No Family","Reason: Job",40.8,2.54
2,"Reason: No Family","Reason: Eviction",5.53,5.17
2,"Reason: No Family","History: Physical Illness",0.21,0.15
2,"Reason: No Family","Reason: Jail Prison",0.4,4.82
2,"Reason: No Family","Reason: No Family",2.75,0.29
2,"Reason: No Family","History: Physical Abuse",2.41,1.92
2,"Reason: No Family","Reason: Death in Family",4.03,2.01
2,"Reason: No Family","Reason: Foster Care",0.79,0.1
2,"Reason: No Family","History: Alcohol Abuse",45.32,62.43
2,"History: Physical Abuse","Reason: Breakup",4.61,0.15
2,"History: Physical Abuse","Reason: No Family",0.34,1.91
2,"History: Physical Abuse","Reason: Foster Care",1.51,4.88
2,"History: Physical Abuse","History: PTSD",11.23,7.7
2,"Reason: Death in Family","Reason: Eviction",0.67,1.09
2,"Reason: Death in Family","Reason: No Family",1.43,2.44
2,"Reason: Death in Family","Reason: Foster Care",0.44,0.33
2,"Reason: Foster Care","Reason: No Family",6.12,6.93
2,"Reason: Unihabitable Housing","History: Physical Illness",18.87,5.36
2,"History: Alcohol Abuse","History: Severe Depression",6.41,5.72
2,"History: Alcohol Abuse","Reason: Substance Abuse",72.12,28.13
2,"History: Alcohol Abuse","Reason: Breakup",66.21,23.98
2,"History: Alcohol Abuse","Reason: Job",227.34,74.73
2,"History: Alcohol Abuse","Reason: Eviction",100.77,0
2,"History: Alcohol Abuse","History: Physical Illness",22.54,32.92
2,"History: Alcohol Abuse","Reason: Jail Prison",72.19,63.83
2,"History: Alcohol Abuse","Reason: No Family",56.12,43.36
2,"History: Alcohol Abuse","History: Physical Abuse",100.77,39.21
2,"History: Alcohol Abuse","Reason: Death in Family",42.14,16.69
2,"History: Alcohol Abuse","Reason: Foster Care",43.39,22.08
2,"History: Alcohol Abuse","History: PTSD",31.9,28.66
2,"History Drug Alcohol","Reason: Substance Abuse",3.19,13.63
2,"History Drug Alcohol","Reason: Domestic Violence",42,8
2,"History Drug Alcohol","Reason: Breakup",11.43,1.51
2,"History Drug Alcohol","Reason: Job",69.57,36.68
2,"History Drug Alcohol","Reason: Eviction",40,50
2,"History Drug Alcohol","History: Physical Illness",5.02,7.44
2,"History Drug Alcohol","Reason: Jail Prison",1.6,8.44
2,"History Drug Alcohol","Reason: No Family",15.24,13.82
2,"History Drug Alcohol","History: Physical Abuse",0,5.95
2,"History Drug Alcohol","Reason: Death in Family",3.07,11.73
2,"History Drug Alcohol","Reason: Foster Care",0.29,0.64
2,"History Drug Alcohol","History: Alcohol Abuse",106.41,338.63
3,"History: Severe Depression","History: Physical Illness",32.09,35.08
3,"History: Severe Depression","Reason: No Family",19.68,35.03
3,"History: Severe Depression","History: Physical Abuse",21.77,15.43
3,"Reason: Substance Abuse","Reason: Job",89.35,88.27
3,"Reason: Substance Abuse","Reason: Eviction",39.1,46.32
3,"Reason: Substance Abuse","History: Physical Illness",1.37,3.95
3,"Reason: Substance Abuse","Reason: No Family",7.44,2.98
3,"Reason: Substance Abuse","History: Physical Abuse",24.44,2.55
3,"Reason: Substance Abuse","Reason: Death in Family",4.66,3.86
3,"Reason: Substance Abuse","Reason: Unihabitable Housing",0.27,5.86
3,"Reason: Domestic Violence","Reason: Substance Abuse",2.57,3.66
3,"Reason: Domestic Violence","Reason: Job",14.7,10.11
3,"Reason: Domestic Violence","Reason: No Family",8.431608,4.78
3,"Reason: Domestic Violence","Reason: Death in Family",0.32,0.39
3,"Reason: Domestic Violence","History: Alcohol Abuse",32.47,25.56
3,"Reason: Breakup","Reason: No Family",4.83,3.04
3,"Reason: Job","History: Severe Depression",23.95,5.55
3,"Reason: Job","Reason: Breakup",19.47,0.65
3,"Reason: Job","Reason: Eviction",84.57,70.03
3,"Reason: Job","History: Physical Illness",76.87,34.99
3,"Reason: Job","Reason: No Family",59.07,20.13
3,"Reason: Job","History: Physical Abuse",60.62,6.56
3,"Reason: Job","Reason: Death in Family",66.13,30.62
3,"Reason: Job","Reason: Unihabitable Housing",22.02,42.53
3,"Reason: Eviction","History: Severe Depression",95.69,69.33
3,"Reason: Eviction","History: Physical Illness",15.42,12.39
3,"Reason: Eviction","Reason: No Family",12.10865,32.74
3,"Reason: Eviction","History: Physical Abuse",80.07,50.79
3,"History: Physical Illness","Reason: No Family",8.88,6.99
3,"History: Physical Illness","History: Physical Abuse",16.36,3.64
3,"Reason: Jail Prison","History: Severe Depression",0.32,0.004824
3,"Reason: Jail Prison","Reason: Substance Abuse",29.17,45.64
3,"Reason: Jail Prison","Reason: Breakup",0.004422,0.01
3,"Reason: Jail Prison","Reason: Job",7.23,7.89
3,"Reason: Jail Prison","Reason: Eviction",54.07,45.19
3,"Reason: Jail Prison","History: Physical Illness",0.8,4.35
3,"Reason: Jail Prison","Reason: No Family",2.2,5.19
3,"Reason: Jail Prison","History: Physical Abuse",18.33,3.7
3,"Reason: No Family","Reason: Substance Abuse",1.8,9.23
3,"Reason: No Family","Reason: Job",33.12,23.91
3,"Reason: No Family","Reason: Eviction",9,17.65
3,"Reason: No Family","History: Physical Illness",0.43,0.32
3,"Reason: No Family","Reason: Jail Prison",0.06,1.56
3,"Reason: Breakup","Reason: No Family",9.98,8.98
3,"Reason: No Family","History: Physical Abuse",8.66,3.36
3,"Reason: No Family","Reason: Death in Family",2.94,1.55
3,"Reason: No Family","History: Alcohol Abuse",40.34,48.13
3,"History: Physical Abuse","Reason: Breakup",5.92,0.23
3,"History: Physical Abuse","Reason: No Family",14.97,19.94
3,"Reason: Death in Family","Reason: Eviction",8.22,1.38
3,"Reason: Death in Family","History: Physical Illness",1.58,0.8
3,"Reason: Death in Family","Reason: No Family",5.73,2.62
3,"Reason: Death in Family","History: Physical Abuse",0.91,0.73
3,"Reason: Unihabitable Housing","Reason: Eviction",40.44,33.42
3,"Reason: Unihabitable Housing","History: Physical Illness",19.73,6.63
3,"History: Alcohol Abuse","History: Severe Depression",6.95,2.88
3,"History: Alcohol Abuse","Reason: Substance Abuse",54.69,28.16
3,"History: Alcohol Abuse","Reason: Breakup",57.47,24.61
3,"History: Alcohol Abuse","Reason: Job",283.97,75.78
3,"History: Alcohol Abuse","Reason: Eviction",118.36,83.31
3,"History: Alcohol Abuse","History: Physical Illness",16.45,26.4
3,"History: Alcohol Abuse","Reason: Jail Prison",125.91,44.73
3,"History: Alcohol Abuse","Reason: No Family",120.11,87.39
3,"History: Alcohol Abuse","History: Physical Abuse",77.9,38.64
3,"History: Alcohol Abuse","Reason: Death in Family",52,13.65
3,"History Drug Alcohol","Reason: Substance Abuse",6.99,52.32
3,"History Drug Alcohol","Reason: Domestic Violence",52,9
3,"History Drug Alcohol","Reason: Breakup",12.56,1.66
3,"History Drug Alcohol","Reason: Job",64.11,141.08
3,"History Drug Alcohol","Reason: Eviction",44.54,43.91
3,"History Drug Alcohol","History: Physical Illness",10.56,14.61
3,"History Drug Alcohol","Reason: Jail Prison",6.3,32.68
3,"History Drug Alcohol","Reason: No Family",31.61,30.46
3,"History Drug Alcohol","History: Physical Abuse",0,6.82
3,"History Drug Alcohol","Reason: Death in Family",4.18,18.26
3,"History Drug Alcohol","History: Alcohol Abuse",150.25,520.9
4,"Developmental Disability","Reason: Substance Abuse",2.11,10.63
4,"Developmental Disability","Reason: Job",18.48,37.94
4,"Developmental Disability","Reason: Eviction",5.39,1.62
4,"Developmental Disability","Reason: Jail Prison",0.000804,0
4,"Developmental Disability","Reason: No Family",1.42,0.71
4,"Developmental Disability","Reason: Death in Family",3.46,1.98
4,"Developmental Disability","History: Alcohol Abuse",22.05,9.13
4,"History: Severe Depression","History: Physical Illness",19.64,45.56
4,"History: Severe Depression","Reason: No Family",22.07,28.72
4,"History: Severe Depression","History: Physical Abuse",17.25,13.79
4,"History: Severe Depression","History: PTSD",4.89,16.93
4,"Reason: Substance Abuse","Reason: Job",84.39,78.06
4,"Reason: Substance Abuse","Reason: Eviction",35.08,66.62
4,"Reason: Substance Abuse","History: Physical Illness",3.95,6.58
4,"Reason: Substance Abuse","Reason: No Family",8.07,2.83
4,"Reason: Substance Abuse","History: Physical Abuse",17.96,1.18
4,"Reason: Substance Abuse","Reason: Death in Family",1.4,4.95
4,"Reason: Substance Abuse","Reason: Unihabitable Housing",0.76,6
4,"Reason: Domestic Violence","Developmental Disability",1.62,1.62
4,"Reason: Domestic Violence","Reason: Substance Abuse",2.74,5
4,"Reason: Domestic Violence","Reason: Job",10.55,9.66
4,"Reason: Domestic Violence","Reason: No Family",3.36,2.24
4,"Reason: Domestic Violence","History: Alcohol Abuse",25.84,19.85
4,"Reason: Breakup","Reason: No Family",6.73,1.9
4,"Reason: Job","History: Severe Depression",21.32,3.01
4,"Reason: Job","Reason: Breakup",12.12,0.55
4,"Reason: Job","Reason: Eviction",72.2,57.97
4,"Reason: Job","History: Physical Illness",50.7,34.21
4,"Reason: Job","Reason: No Family",39.24,12.84
4,"Reason: Job","History: Physical Abuse",31.51,2.45
4,"Reason: Job","Reason: Death in Family",69.66,31.34
4,"Reason: Job","Reason: Unihabitable Housing",22.48,36.28
4,"Reason: Job","History: PTSD",25.72,9.61
4,"Reason: Eviction","History: Severe Depression",91.31,67.7
4,"Reason: Eviction","History: Physical Illness",20.31,23.24
4,"Reason: Eviction","Reason: No Family",13.74,38.18
4,"Reason: Eviction","History: Physical Abuse",82.1,34.29
4,"Reason: Eviction","History: PTSD",0.0043208,0.11
4,"History: Physical Illness","Reason: No Family",4.31,3.21
4,"History: Physical Illness","History: Physical Abuse",17.66,3.5
4,"History: Physical Illness","History: PTSD",13.15,3.1
4,"Reason: Jail Prison","History: Severe Depression",0.28,0.53
4,"Reason: Jail Prison","Reason: Substance Abuse",64.96,51.38
4,"Reason: Jail Prison","Reason: Breakup",0,0.004422
4,"Reason: Jail Prison","Reason: Job",7.21,6.96
4,"Reason: Jail Prison","Reason: Eviction",120.35,156.82
4,"Reason: Jail Prison","History: Physical Illness",1.93,5.85
4,"Reason: Jail Prison","Reason: No Family",2.67,5.75
4,"Reason: Jail Prison","History: Physical Abuse",30.87,1.92
4,"Reason: No Family","Developmental Disability",2.56,0
4,"Reason: No Family","Reason: Substance Abuse",0.54,7.09
4,"Reason: No Family","Reason: Job",16.97,26.63
4,"Reason: No Family","Reason: Eviction",11.84,5.32
4,"Reason: No Family","History: Physical Illness",1.39,0.13
4,"Reason: No Family","Reason: Jail Prison",0,2.58
4,"Reason: No Family","Reason: No Family",13.5,9.35
4,"Reason: No Family","History: Physical Abuse",8.14,2.39
4,"Reason: No Family","History: Alcohol Abuse",28.45,32.23
4,"History: Physical Abuse","Reason: Breakup",4.99,0.24
4,"History: Physical Abuse","Reason: No Family",3.31,11.94
4,"History: Physical Abuse","History: PTSD",7.45,7.9
4,"Reason: Death in Family","Reason: Eviction",9.63,2.24
4,"Reason: Death in Family","History: Physical Illness",1.39,0.13
4,"Reason: Death in Family","Reason: No Family",1.24,1.65
4,"Reason: Unihabitable Housing","History: Severe Depression",12.56,7.23
4,"Reason: Unihabitable Housing","Reason: Eviction",34.45,32.58
4,"Reason: Unihabitable Housing","History: Physical Illness",24.09,14.86
4,"History: Alcohol Abuse","History: Severe Depression",10.48,3.83
4,"History: Alcohol Abuse","Reason: Substance Abuse",72.24,37.93
4,"History: Alcohol Abuse","Reason: Breakup",41.86,24.21
4,"History: Alcohol Abuse","Reason: Job",173.54,72.79
4,"History: Alcohol Abuse","Reason: Eviction",112.11,79.78
4,"History: Alcohol Abuse","History: Physical Illness",14.26,32.2
4,"History: Alcohol Abuse","Reason: Jail Prison",121.54,43.14
4,"History: Alcohol Abuse","Reason: No Family",96.86,54.03
4,"History: Alcohol Abuse","History: Physical Abuse",86.08,20.66
4,"History: Alcohol Abuse","Reason: Death in Family",45.94,15.39
4,"History: Alcohol Abuse","Reason: Unihabitable Housing",18.84,9.89
4,"History: Alcohol Abuse","History: PTSD",22.74,29.8
4,"History Drug Alcohol","Developmental Disability",1.62,5.17
4,"History Drug Alcohol","Reason: Substance Abuse",6.4,23.23
4,"History Drug Alcohol","Reason: Domestic Violence",45,7
4,"History Drug Alcohol","Reason: Breakup",10.62,4.24
4,"History Drug Alcohol","Reason: Job",49.06,51.76
4,"History Drug Alcohol","Reason: Eviction",36.47,28.97
4,"History Drug Alcohol","History: Physical Illness",8.8,13.98
4,"History Drug Alcohol","Reason: Jail Prison",10.61,22.35
4,"History Drug Alcohol","Reason: No Family",28.1,26.42
4,"History Drug Alcohol","Reason: Death in Family",2.88,17.5
4,"History Drug Alcohol","Reason: Unihabitable Housing",14.84,3.42
4,"History Drug Alcohol","History: PTSD",0.52,0.81
4,"History Drug Alcohol","History: Alcohol Abuse",111.74,420.28
5,"Developmental Disability","Reason: Substance Abuse",4.21,10.86
5,"Developmental Disability","Reason: Job",7.59,31.46
5,"Developmental Disability","Reason: Eviction",4.72,1.36
5,"Developmental Disability","Reason: No Family",5.58,10.25
5,"Developmental Disability","Reason: Death in Family",1.65,2.45
5,"Developmental Disability","History: Alcohol Abuse",40.4,19.82
5,"History: Severe Depression","Reason: No Family",26.47,44.01
5,"History: Severe Depression","History: Physical Abuse",16.16,9.1
5,"History: Severe Depression","History: PTSD",4.49,19.9
5,"Reason: Substance Abuse","Reason: Breakup",0,1.6
5,"Reason: Substance Abuse","Reason: Job",59.59,67.56
5,"Reason: Substance Abuse","Reason: Eviction",34.31,49.93
5,"Reason: Substance Abuse","Reason: No Family",24.51,10.98
5,"Reason: Substance Abuse","History: Physical Abuse",21.53,1.82
5,"Reason: Substance Abuse","Reason: Death in Family",4.01,7.29
5,"Reason: Substance Abuse","Reason: Foster Care",8.73,2.1
5,"Reason: Substance Abuse","Reason: Unihabitable Housing",2.35,5.39
5,"Reason: Substance Abuse","History: PTSD",0.05,2.64
5,"Reason: Domestic Violence","Developmental Disability",9.95,1.28
5,"Reason: Domestic Violence","Reason: Substance Abuse",2.94,5.74
5,"Reason: Domestic Violence","Reason: No Family",8.87,4.57
5,"Reason: Domestic Violence","History: Alcohol Abuse",35.8,20.88
5,"Reason: Breakup","Reason: No Family",8.49,5.55
5,"Reason: Job","Reason: Eviction",66.76,65.05
5,"Reason: Job","Reason: No Family",40.44,50.91
5,"Reason: Job","History: Physical Abuse",37.09,8.82
5,"Reason: Job","Reason: Death in Family",67.34,29.1
5,"Reason: Job","Reason: Foster Care",6.59,2.14
5,"Reason: Job","Reason: Unihabitable Housing",23.58,46.22
5,"Reason: Job","History: PTSD",16.12,12.24
5,"Reason: Eviction","History: Severe Depression",138.94,81.49
5,"Reason: Eviction","Reason: No Family",50.64,68.12
5,"Reason: Eviction","History: Physical Abuse",125.79,47.92
5,"Reason: Eviction","Reason: Foster Care",15.89,30.48
5,"Reason: Eviction","History: PTSD",0.5,0.27
5,"Reason: Jail Prison","Reason: Substance Abuse",39.24,38.87
5,"Reason: Jail Prison","Reason: Job",9.61,4.29
5,"Reason: Jail Prison","Reason: Eviction",59.89,71.78
5,"Reason: Jail Prison","Reason: No Family",0.27,4.63
5,"Reason: Jail Prison","History: Physical Abuse",44.54,2.18
5,"Reason: Jail Prison","Reason: Foster Care",4.32,2.59
5,"Reason: Jail Prison","Reason: Unihabitable Housing",0.92,1.69
5,"Reason: Jail Prison","History: PTSD",0.72,0.47
5,"Reason: No Family","Developmental Disability",2.97,2.55
5,"Reason: No Family","Reason: Substance Abuse",3.03,8.93
5,"Reason: No Family","Reason: Job",11.51,10.16
5,"Reason: No Family","Reason: Eviction",16.87,5.9
5,"Reason: No Family","Reason: No Family",13.61,4.22
5,"Reason: No Family","History: Physical Abuse",29.47,3.08
5,"Reason: No Family","Reason: Death in Family",2.32,1.56
5,"Reason: No Family","History: PTSD",11.38519,9.270229
5,"Reason: No Family","History: Alcohol Abuse",67.76,46.33
5,"History: Physical Abuse","Reason: Breakup",10.18,1.03
5,"History: Physical Abuse","Reason: No Family",7.02,10.28
5,"History: Physical Abuse","Reason: Foster Care",3.29,6.46
5,"History: Physical Abuse","History: PTSD",3.93,8.57
5,"Reason: Death in Family","Reason: Eviction",12.32,7.9
5,"Reason: Death in Family","Reason: No Family",25.73,5.24
5,"Reason: Death in Family","History: Physical Abuse",5.06,0.07
5,"Reason: Death in Family","Reason: Foster Care",7.15,0.27
5,"Reason: Death in Family","History: PTSD",1.6,0
5,"Reason: Foster Care","Reason: No Family",11.9,8.97
5,"Reason: Foster Care","History: PTSD",0,0.01
5,"Reason: Unihabitable Housing","History: Severe Depression",19.47,7.47
5,"Reason: Unihabitable Housing","Reason: Eviction",41.7,39.73
5,"Reason: Unihabitable Housing","Reason: No Family",31.24,11.03
5,"Reason: Unihabitable Housing","History: Physical Abuse",6.33,2.6
5,"History: Alcohol Abuse","History: Severe Depression",8.29,18.24
5,"History: Alcohol Abuse","Reason: Substance Abuse",83.45,36.67
5,"History: Alcohol Abuse","Reason: Breakup",23.19,31.72
5,"History: Alcohol Abuse","Reason: Job",215.2,79.34
5,"History: Alcohol Abuse","Reason: Eviction",125.17,92.62
5,"History: Alcohol Abuse","Reason: Jail Prison",124.34,48.58
5,"History: Alcohol Abuse","Reason: No Family",106.49,96.17
5,"History: Alcohol Abuse","History: Physical Abuse",114.02,27.61
5,"History: Alcohol Abuse","Reason: Death in Family",60.05,24
5,"History: Alcohol Abuse","Reason: Foster Care",40.68,14.69
5,"History: Alcohol Abuse","Reason: Unihabitable Housing",20.26,9.96
5,"History: Alcohol Abuse","History: PTSD",23.12,32.51
5,"History Drug Alcohol","Developmental Disability",5.97,3.57
5,"History Drug Alcohol","History: Severe Depression",11.59,0.78
5,"History Drug Alcohol","Reason: Substance Abuse",10.94,10.94
5,"History Drug Alcohol","Reason: Domestic Violence",83.23,83.23
5,"History Drug Alcohol","Reason: Breakup",19.32,12.32
5,"History Drug Alcohol","Reason: Job",76.68,76.68
5,"History Drug Alcohol","Reason: Eviction",97.31,97.31
5,"History Drug Alcohol","Reason: Jail Prison",12.42,12.42
5,"History Drug Alcohol","Reason: No Family",97.64,97.42
5,"History Drug Alcohol","History: Physical Abuse",4.83,4.83
5,"History Drug Alcohol","Reason: Death in Family",6.03,6.03
5,"History Drug Alcohol","Reason: Foster Care",0.24,2.21
5,"History Drug Alcohol","Reason: Unihabitable Housing",14.11,14.11
5,"History Drug Alcohol","History: PTSD",6.26,6.26
5,"History Drug Alcohol","History: Alcohol Abuse",153.95,467.03
6,"Developmental Disability","Reason: Substance Abuse",2.76,17.87
6,"Developmental Disability","Reason: Job",8.32,34.86
6,"Developmental Disability","Reason: Eviction",7.38,8.72
6,"Developmental Disability","History: Physical Illness",6.4,4.61
6,"Developmental Disability","Reason: No Family",4.22,2.32
6,"Developmental Disability","Reason: Death in Family",1.92,2.69
6,"Developmental Disability","History: Alcohol Abuse",26.09,44.31
6,"History: Severe Depression","History: Physical Illness",9.63,25.24
6,"History: Severe Depression","Reason: No Family",12.78,14.97
6,"History: Severe Depression","History: Physical Abuse",9.5,12.36
6,"History: Severe Depression","History: PTSD",3.14,7.92
6,"Reason: Substance Abuse","History: Severe Depression",3.02,2.68
6,"Reason: Substance Abuse","Juvenile Detention Involvement",0,1.7
6,"Reason: Substance Abuse","Reason: Job",57.81,54.79
6,"Reason: Substance Abuse","Reason: Eviction",38.4,59.92
6,"Reason: Substance Abuse","History: Physical Illness",3.82,4.88
6,"Reason: Substance Abuse","Reason: No Family",20.92,4.02
6,"Reason: Substance Abuse","History: Physical Abuse",22.54,7.49
6,"Reason: Substance Abuse","Reason: Death in Family",3.92,4.22
6,"Reason: Substance Abuse","Reason: Foster Care",8.89,2.98
6,"Reason: Substance Abuse","Reason: Unihabitable Housing",0.83,6.57
6,"Reason: Domestic Violence","Developmental Disability",5.43,2.75
6,"Reason: Domestic Violence","History: Severe Depression",0.88,6.93
6,"Reason: Domestic Violence","Reason: Substance Abuse",4.21,7.93
6,"Reason: Domestic Violence","Reason: Job",14.71,0
6,"Reason: Domestic Violence","History: Physical Illness",2.84,1.26
6,"Reason: Domestic Violence","Reason: No Family",7.17,2.4
6,"Reason: Domestic Violence","History: Alcohol Abuse",35.72,17.63
6,"Reason: Job","History: Severe Depression",12.33,5.24
6,"Reason: Job","Juvenile Detention Involvement",0.25,1.86
6,"Reason: Job","Reason: Eviction",60.03,64.68
6,"Reason: Job","History: Physical Illness",22.27,25.95
6,"Reason: Job","Reason: No Family",22.91,17.06
6,"Reason: Job","History: Physical Abuse",37.76,11.57
6,"Reason: Job","Reason: Death in Family",41.25,21.1
6,"Reason: Job","Reason: Foster Care",6.91,2.17
6,"Reason: Job","Reason: Unihabitable Housing",14.5,31.56
6,"Reason: Job","History: PTSD",17.37,10.41
6,"Reason: Eviction","History: Severe Depression",155.45,52.51
6,"Reason: Eviction","Juvenile Detention Involvement",17.49,32.58
6,"Reason: Eviction","History: Physical Illness",34.67,19.81
6,"Reason: Eviction","Reason: No Family",9.26,27.94
6,"Reason: Eviction","History: Physical Abuse",92,90.14
6,"Reason: Eviction","Reason: Foster Care",18.59,28.26
6,"Reason: Eviction","History: PTSD",1.82,1.02
6,"History: Physical Illness","Reason: No Family",4.19,0.59
6,"History: Physical Illness","History: Physical Abuse",16.63,6
6,"Reason: Jail Prison","History: Severe Depression",3.38,2.28
6,"Reason: Jail Prison","Reason: Substance Abuse",31.81,33.66
6,"Reason: Jail Prison","Juvenile Detention Involvement",0.08,2.5
6,"Reason: Jail Prison","Reason: Job",7.26,6.13
6,"Reason: Jail Prison","Reason: Eviction",58.24,39.04
6,"Reason: Jail Prison","History: Physical Illness",0,2.05
6,"Reason: Jail Prison","Reason: No Family",0.82,0.13
6,"Reason: Jail Prison","History: Physical Abuse",30.37,2.59
6,"Reason: Jail Prison","Reason: Foster Care",5.02,2.28
6,"Reason: Jail Prison","Reason: Unihabitable Housing",0.77,0.7
6,"Reason: No Family","Developmental Disability",1.88,0.02
6,"Reason: No Family","Reason: Substance Abuse",3.17,17.05
6,"Reason: No Family","Reason: Job",6.22,7.84
6,"Reason: No Family","Reason: Eviction",14.75,10
6,"Reason: No Family","History: Physical Illness",2.44,0.78
